artists,track_name,popularity,profile,pca_1,pca_2
Bratz,Bratitude,31,Bailable y positivo,1.7651,0.9307
Ami Warning,Weg,39,Bailable y positivo,0.5305,0.9963
Bruce Bruce,Get A Physical,24,Directo y hablado,0.8486,-0.9558
Psychostick,Quack Kills,24,Bailable y positivo,1.3477,-0.422
Brenda Lee,Rockin' Around The Christmas Tree,0,Bailable y positivo,0.2678,1.5079
Chris Tomlin,Joy To The World (Unspeakable Joy),1,Directo y hablado,0.9264,-2.5008
Almafuerte,En Este Viaje,31,Intenso y oscuro,-0.0228,-0.3264
Enrique Iglesias;Ludacris;DJ Frank E,Tonight (I'm Lovin' You),51,Intenso y oscuro,0.9597,-0.5945
Romántica Milonguera,Besos brujos,17,Acústico y calmado,-0.4857,0.9391
Martin Garrix;Brooks,Quantum,57,Intenso y oscuro,-0.3548,-1.4102
Loving,Stranger To Yourself,53,Acústico y calmado,-2.5187,0.0183
Philip Glass;Víkingur Ólafsson,Glassworks: Opening,0,Acústico y calmado,-4.8493,-0.4568
Zhang Qing Fang;優客李林,出嫁,22,Acústico y calmado,-0.4766,0.427
Sean Paul,She Doesn't Mind - Gregori Klosman Remix,0,Bailable y positivo,1.5743,0.4276
Sly Withers,Clarkson,29,Intenso y oscuro,0.2955,-0.9741
Baby Sleep;Baby Shushing;Dreams of Dreams,Shhhh Baby Shusher Mama Shushing Background Fan (Loopable),40,Acústico y calmado,-3.8427,-1.8565
Mandrill,Can You Get It,7,Bailable y positivo,1.9981,1.2982
Rella;Conor Gardiner,Follow Me,59,Bailable y positivo,0.5823,0.3663
Imperatorz,Fake Ass Bitches,23,Intenso y oscuro,0.7275,-0.6143
Marcel Dettmann;Ryan Elliott,State Of Art - Ryan Elliott Dub,17,Intenso y oscuro,-0.1309,-0.9491
WowKidz,Dhobi Aaya,22,Bailable y positivo,0.2152,2.0361
Taylor Swift,willow,0,Acústico y calmado,-0.8148,0.4912
The Chemical Brothers,The Darkness That You Fear - Edit,36,Intenso y oscuro,0.7376,-0.8816
Mark D. Pencil,The Exercise Game # 1,14,Intenso y oscuro,0.3852,-0.2892
Keyakizaka46,制服と太陽,21,Bailable y positivo,0.645,0.4072
Peggy Lee,Fever,0,Bailable y positivo,-0.2116,1.1169
Hooverphonic,Magenta,21,Intenso y oscuro,-1.063,-1.5104
Vance Joy,Call If You Need Me,0,Bailable y positivo,-0.4757,1.6632
The West Coast Pop Art Experimental Band,I Won't Hurt You,52,Acústico y calmado,-1.81,2.1213
Ed Solo;Deekline,Bad Boy Your Love - Original Mix,17,Bailable y positivo,1.4163,0.0317
Slayer,War Ensemble,56,Intenso y oscuro,0.2431,-1.8143
Phoebe Bridgers,Motion Sickness,77,Bailable y positivo,-0.3794,1.5939
The Smiths,I Know It's Over - 2011 Remaster,67,Intenso y oscuro,-0.4381,-0.3314
Mia Julia;Tom Tigo,Weck mich nicht auf - Tom Tigo RMX,23,Intenso y oscuro,1.4366,-0.9209
Flört,İstanbul,31,Intenso y oscuro,-0.0842,-0.2797
Martin Garrix;Blinders,Aurora,50,Intenso y oscuro,0.4762,-0.9341
Roberto Carlos,Eu Sou Terrível - Versão remasterizada,44,Bailable y positivo,1.0585,0.7404
Enrique Guzman,Con y por Amor,34,Directo y hablado,-0.7577,-1.072
Novo Amor,Repeat Until Death,69,Acústico y calmado,-3.5804,-0.0267
Audio Bullys,Flickery Vision - Extended Mix,15,Bailable y positivo,1.8812,1.3052
Harris Jayaraj;Chinmayi,Idhayathai Yedho Ondru,57,Acústico y calmado,-1.014,1.2013
Enygma Rapper;Mistery,Lua Superior 6,42,Bailable y positivo,0.8649,-0.083
Shawn Mendes,There's Nothing Holdin' Me Back,86,Bailable y positivo,1.8362,1.9569
Le Castle Vania,Use of Force,41,Intenso y oscuro,-0.186,-1.8096
Dear Jane,銀河修理員,49,Intenso y oscuro,-0.0496,-0.4497
ThirumaLi,Vyadhi,28,Bailable y positivo,1.182,0.7909
Bailey Zimmerman,Where It Ends,0,Bailable y positivo,0.5683,0.0109
Stevie Wonder,One Little Christmas Tree,0,Acústico y calmado,-0.9086,0.9206
Tim Wilson,Bed Pan Man,22,Directo y hablado,2.0898,-1.4251
Polish Club,All I Want For Christmas Is You,0,Directo y hablado,0.2079,-2.9277
Yiruma,Room With A View,48,Acústico y calmado,-3.746,-0.1122
The Chemical Brothers,Block Rockin' Beats,49,Intenso y oscuro,1.0498,-0.5146
Andy Lau,缺陷美 - 粵,20,Acústico y calmado,-1.1236,1.3416
Radiohead,Exit Music (For A Film),73,Acústico y calmado,-1.6958,-0.5745
Salsangroove,Mujer Divina,35,Bailable y positivo,0.2617,0.1382
Los Dinner's,"El Jala, Jala",31,Bailable y positivo,1.6494,1.2381
Giacomo Puccini;Luciano Pavarotti;Rolando Panerai;Mirella Freni;Berliner Philharmoniker;Herbert von Karajan,"La bohème, SC 67 / Act 3: ""Mimì è una civetta""",25,Acústico y calmado,-2.3537,0.2886
flowtide,gradient,33,Acústico y calmado,-1.797,1.3333
Bad Bunny;Jhayco,Tarot,91,Directo y hablado,1.3282,-0.614
"Sarah, the Illstrumentalist",Everything's Better With You,35,Intenso y oscuro,-0.6262,-0.3707
Dimitri Vegas & Like Mike;Like Mike;Steve Aoki;Ummet Ozcan,Melody Radio Mix,26,Intenso y oscuro,0.1118,-1.7204
Nando Fortunato;Paul Lock,This Fire in Me - Paul Lock Remix,39,Bailable y positivo,1.7407,0.7248
Josh Groban;Laura Pausini,E ti prometterò (feat. Laura Pausini),24,Acústico y calmado,-1.6515,0.3722
Renascer Praise,Pelo Sangue - ao vivo,41,Acústico y calmado,-1.5029,0.1097
Dieter Huber,Zitronen Garten,49,Acústico y calmado,-3.716,0.4741
Lordi,Cutterfly,24,Directo y hablado,1.4991,-1.2512
Nightwish,Storytime,58,Intenso y oscuro,1.1907,-1.2255
Arctic Monkeys,You're So Dark,58,Bailable y positivo,0.6106,0.7469
Jerry Rivera,Quien de los Dos?,28,Bailable y positivo,0.1858,1.3596
Pete Bernhard,Sugar Cane,14,Acústico y calmado,-0.7084,2.3956
Peppa Pig,Look In A Book,43,Bailable y positivo,1.4754,2.1283
Stevie Wonder,What Christmas Means To Me - Single Version / Mono,0,Bailable y positivo,0.9926,0.6102
Tiësto;Charli XCX,Hot in It,1,Bailable y positivo,1.9031,0.6466
Erasure,A Little Respect,22,Bailable y positivo,1.2478,-0.2176
Alka Yagnik;Udit Narayan,Jo Bhi Kasmein,55,Bailable y positivo,0.3301,1.3691
Ellise,911,68,Bailable y positivo,0.1847,1.3764
Jimmy Buffett,Survive,0,Acústico y calmado,-1.5375,0.8086
Jorge Drexler,Al Otro Lado Del Río (342 Amazônia ao Vivo no Circo Voador),21,Directo y hablado,0.2342,-0.2937
M.I.A.,バッド・ガールズ,0,Intenso y oscuro,1.0678,-0.3863
Bastille,Bad Blood,0,Bailable y positivo,1.7931,0.8731
FKA twigs;Daniel Caesar,careless (feat. daniel caesar),55,Acústico y calmado,-0.953,1.0449
Don Valiyavelicham,En Prema Geethamam,25,Acústico y calmado,-2.2301,0.7925
Fear Of Domination,Obsession,22,Intenso y oscuro,0.7689,-1.1614
Tineidae,Star Mist,15,Acústico y calmado,-3.1968,-1.6868
22Gz,Fallen Blixkys,0,Bailable y positivo,1.4573,0.7383
Georges Bizet;Teresa Berganza;Plácido Domingo;London Symphony Orchestra;Claudio Abbado,"Carmen, WD 31 / Act I: Chanson et Duo: ""Près des remparts de Séville""",20,Acústico y calmado,-3.0925,0.8424
K-Hand,I Remember When,4,Bailable y positivo,1.1757,1.2744
Ray Price,Release Me,12,Acústico y calmado,-1.149,2.2585
Cuco Sánchez,Una Pura Y Dos Con Sal,30,Bailable y positivo,0.5998,1.8507
Lafayette Afro Rock Band,Baba Hya - Remastered,16,Intenso y oscuro,-0.0173,-0.459
Mc Davi;Gaab;Mc Don Juan,Nada Vai Superar Você,48,Bailable y positivo,0.6727,0.2794
Omoinotake,EVERBLUE,56,Intenso y oscuro,1.4153,-0.7353
Baby Rasta & Gringo;Plan B,Ella Se Contradice,34,Directo y hablado,2.1907,-0.0062
Carlos Gardel;Daniel Barenboim;Rodolfo Mederos;Héctor Console,Gardel / Arr. Carli: Mi Buenos Aires querido,21,Acústico y calmado,-1.8602,1.2839
T78,Humans Love Me,54,Intenso y oscuro,0.2258,-1.0208
Lasse Stefanz,Det faller ett regn,33,Bailable y positivo,1.1324,0.4298
Matchbox Twenty,Cold,27,Intenso y oscuro,1.4829,-1.0738
Demarco;Akon;Runtown,No Wahala (feat. Akon & Runtown),50,Bailable y positivo,0.7406,1.5895
Morten Myklebust,Heartbroken,25,Acústico y calmado,-1.5099,0.1631
Jão,Fim De Festa,53,Acústico y calmado,-0.8525,0.2568
Totally Enormous Extinct Dinosaurs,Be with You,55,Intenso y oscuro,0.3009,0.2251
MC Kaique da VP,Taca a Xereca pra Mim,63,Bailable y positivo,1.0168,1.4285
"Группа ""Загадка""",Пускай могила меня накажет,0,Acústico y calmado,-2.0553,0.8135
Pretenders,2000 Miles - 2007 Remaster,0,Intenso y oscuro,-0.0062,-0.8364
Davodka;Dooz Kawa,Petit miroir,32,Bailable y positivo,1.3975,0.3084
DJ Greg C;Boon-T,Static Faction - Gregamix,28,Intenso y oscuro,0.8389,-0.1686
Synapson;Kaleem Taylor,Filter Lover Pt. 2: Don't You (feat. Kaleem Taylor),23,Bailable y positivo,2.097,0.6618
Kidz Bop Kids,Levitating,60,Bailable y positivo,1.6531,0.6828
Nogizaka46,ダンケシェーン,21,Bailable y positivo,1.1143,-0.2631
Joy Oladokun,jordan,0,Acústico y calmado,-1.4398,0.5945
Saba Alizadeh,Only Hope Breaks the Dark Waves,0,Acústico y calmado,-3.4211,-1.5902
Adelitas Way,Notorious,58,Intenso y oscuro,1.2208,-0.3706
Zé Vaqueiro,Boi No Chão,39,Bailable y positivo,1.8265,1.3297
Kathryn Toyama,Acceptance,19,Acústico y calmado,-3.836,0.0145
