artists,track_name,popularity,profile,pca_1,pca_2
Steve Aoki;BTS,Waste It On Me,59,Directo y hablado,0.8716,-0.7823
Los Bunkers,Ángel Para Un Final,0,Intenso y oscuro,-0.1235,-1.0534
M83,Tu m'as tuée,50,Acústico y calmado,-3.4204,-1.1305
Alireza Mashayekhi;Ata Ebtekar;The Iranian Orchestra For New Music,Turquoise Gas In Ice,0,Intenso y oscuro,0.5347,-2.5124
Alphaxone,Falling Time,7,Acústico y calmado,-4.1063,-1.0997
aswekeepsearching;Shankuraj Konwar,Ovotaar,26,Intenso y oscuro,-0.8004,-0.3515
Adele,Take It All,55,Acústico y calmado,-2.1988,0.8106
Glee Cast,Firework (Glee Cast Concert Version),20,Directo y hablado,1.306,-2.3127
Péricles,Depois da Briga,45,Directo y hablado,0.4467,-0.4705
Pinkfong,Dia das Bruxas Dos Tubarões,0,Bailable y positivo,0.829,0.5792
Enigma,Principles Of Lust,37,Intenso y oscuro,-0.484,-0.4395
Jagjit Singh;Chitra Singh,Woh Kaghaz Ki Kashti,48,Bailable y positivo,-0.245,2.3039
Arctic Monkeys,Why'd You Only Call Me When You're High? - Live,53,Directo y hablado,0.7054,-1.784
Ana Mena;Rocco Hunt,Un beso de improviso,63,Bailable y positivo,1.8449,1.017
Keyakizaka46,世界には愛しかない,21,Intenso y oscuro,1.0634,-0.8057
Dub Pistols;Seanie Tee;Neville Staple,Real Gangster,16,Directo y hablado,2.0857,-1.2247
Daddy Yankee;El Alfa;Lil Jon,BOMBÓN,78,Bailable y positivo,1.8605,0.6651
Seiko Matsuda,Canary,29,Acústico y calmado,-1.0506,0.8387
Los Apson,Y la Quiero,36,Acústico y calmado,-1.0299,1.8481
La Rondalla Tapatía,Novia Mia,21,Acústico y calmado,-1.5434,0.7463
A*S*Y*S;Kai Tracid;Tom Wax,Freedom of Expression - Dark Acid Mix,45,Intenso y oscuro,-0.182,-1.289
Alok;Bastille,Run Into Trouble,0,Intenso y oscuro,0.674,0.1009
Bersuit Vergarabat,Va Por Chapultepec,34,Bailable y positivo,1.8852,0.8345
Samba De Dom,Perigo,44,Directo y hablado,1.0959,0.6394
MARAUDA,HAZE,43,Intenso y oscuro,-0.8775,-1.9396
Nirvana,Blew,62,Intenso y oscuro,0.9143,-1.0824
Mike Oldfield,"Tubular Bells - Opening Theme / From ""The Exorcist""",3,Acústico y calmado,-2.062,0.7444
CoComelon,The Teacher Song,48,Bailable y positivo,0.8561,2.0012
Kato,Kids,25,Acústico y calmado,-2.8447,0.8028
Ministry,Death Toll,23,Intenso y oscuro,0.522,-1.5853
Brenda Lee,Rockin' Around the Christmas Tree - Re-Recorded Version,0,Bailable y positivo,0.6414,1.3747
Juggernaut,Don't Fuck With a Ruffneck - Anthem,16,Intenso y oscuro,-0.314,-2.7023
Hunter Foster;Derek Klena;Caitlin Kinnunen;Kelli O'Hara,Home Before You Know It,20,Acústico y calmado,-0.8864,1.1715
Hjalle & Heavy,En Kungens Man,38,Bailable y positivo,1.2512,0.0253
Sorriso Maroto,Já Era,46,Directo y hablado,0.4432,-0.7262
Grupo Fundo De Quintal,Pela hora,41,Bailable y positivo,0.8987,1.6232
Jerry Garcia Band;Jerry Garcia,The Harder They Come - Live,22,Directo y hablado,0.4338,-1.229
Hanare Gumi,踊る人たち,25,Acústico y calmado,-1.6201,1.6913
ROTTENGRAFFTY,I Believe (New Mix),19,Intenso y oscuro,0.9556,-0.9519
Deen Burbigo,CLIO & BERLINE,34,Directo y hablado,1.9866,0.1389
Artz;Şehinşah;Ezhel,Ihtan (feat. Şehinşah & Ezhel),42,Bailable y positivo,0.994,1.0126
Intence,Money Nuff Funds,20,Bailable y positivo,0.6532,0.3058
Dan Gibson's Solitudes,The Essence of Being,22,Directo y hablado,-2.5179,-1.5098
Canção & Louvor,Calmaria,46,Acústico y calmado,-1.0981,0.9075
Beenie Man;Ms. Thing,Dude,57,Bailable y positivo,1.7274,0.7066
Georgio,A l'abri,33,Bailable y positivo,0.9408,0.3774
Luciano;Aitch;BIA,Bamba (feat. Aitch & BIA),75,Bailable y positivo,2.1928,0.8249
Max Weidner,Max From Bavaria,29,Directo y hablado,1.9785,-0.8566
Cut La Roc,Bassheads,3,Bailable y positivo,0.9306,-0.0493
Duki;KHEA,She Don't Give a Fo,82,Bailable y positivo,0.4657,0.9007
Julio Preciado Y Su Banda Perla Del Pacifico,Si Tengo a Mi Madre,47,Bailable y positivo,0.3036,2.0042
Linkin Park,I'LL BE GONE,55,Intenso y oscuro,1.2051,-0.3524
Burgerkill,Laknat,23,Directo y hablado,0.5552,-3.7561
Cheryl Lynn,Got to Be Real,66,Bailable y positivo,0.9001,1.0544
Josh Wink;DJ Wink's,Higher State Of Consciousness - DJ Wink's Hardhouse Remix,0,Intenso y oscuro,0.1297,-0.5803
Zate;Jack Center,Wer rettet mich,42,Acústico y calmado,-1.3958,0.9452
Job Kurian;Shaan Rahman,"Thane Peythu - From ""Kunjeldho""",24,Intenso y oscuro,0.5313,-0.7046
Michael Jackson,Thriller,70,Directo y hablado,2.2563,-0.8756
ACE COLLECTION,モノクロシティ,50,Bailable y positivo,1.8969,0.4141
(G)I-DLE,HWAA,66,Intenso y oscuro,0.1828,-1.1426
Ekin Cheng,無處不在,24,Bailable y positivo,-0.088,0.5482
DGHTR,Blink,18,Acústico y calmado,-0.9943,0.9537
Subze;Lom-C;Blon;Shé,Oda al Verso,27,Bailable y positivo,0.891,1.0918
Jeet Gannguli;Arijit Singh,Khamoshiyan,64,Acústico y calmado,-1.0121,0.395
Kruger Brothers;Kontras Quartet,Gather Round - Prelude,20,Acústico y calmado,-3.0549,0.6062
Pritam;Shaan,Let It Be,44,Bailable y positivo,1.3761,1.0041
Deal's Gone Bad,Messin' Around,32,Bailable y positivo,1.8179,1.3546
Carlos Lombardi;Los Românticos De La Noche,A Media Luz,19,Acústico y calmado,-1.005,1.9274
Kayou.;Kaxi,wish u the best,40,Acústico y calmado,-1.5174,1.4708
Webb Pierce,I Ain't Never,14,Bailable y positivo,0.6967,1.8677
Astronoid,I Wish I Was There While the Sun Set,18,Intenso y oscuro,-0.3756,-2.7319
Nobodys,A Girl Like You,26,Intenso y oscuro,0.0093,-1.5704
Natural White Noise Relaxation,Consistent Sounds of Mother Nature (From the Sleep App Sound Therapy System),48,Directo y hablado,-2.1404,-4.3582
Years & Years,Starstruck,0,Bailable y positivo,1.5466,-0.4332
The Mission,Like A Child Again - Remix,23,Bailable y positivo,1.294,-0.1609
Acerina Y Su Danzonera,Teléfono a Larga Distancia,32,Bailable y positivo,-0.2876,0.609
Bappi Lahiri;Anuradha Paudwal;Badshah,Tamma Tamma Again,57,Bailable y positivo,1.7219,0.7932
Motionless In White,Headache,56,Intenso y oscuro,1.2132,-0.505
Alec Benjamin,If We Have Each Other,75,Bailable y positivo,0.4279,1.4056
Raphael Lake;Royal Baggs,A Thought Is Haunting Me,43,Acústico y calmado,-2.1918,-0.2093
Smyang Piano;Bibimbeats,Stigma,36,Acústico y calmado,-3.0585,0.9809
"Bobby Cruz;Ricardo ""Richie"" Ray",Aguinaldo Navideño,27,Bailable y positivo,0.4288,1.871
Ñejo & Dalmata,Sexo En La Playa,0,Bailable y positivo,1.0968,0.6701
Covers Culture,SOS - Acoustic Covers Versions,26,Acústico y calmado,-1.9676,1.4422
Incubus,Love Hurts,59,Intenso y oscuro,0.5727,-0.6719
Manila Killa;Kwesi,Dark Places,39,Intenso y oscuro,0.298,-0.8306
Jads & Jadson,Se Toca Essa Moda,43,Bailable y positivo,1.3397,0.3739
Grupo Niche,Cali Pachanguero,0,Directo y hablado,0.9514,0.8041
Rainbow,Stargazer,60,Directo y hablado,0.7129,-2.9748
Ewert,Trading Bikes,31,Bailable y positivo,-0.3144,0.4417
Gerson Rufino,Desta Vez Não,39,Bailable y positivo,0.4652,0.4256
Tantrum Desire,In the Dance,17,Intenso y oscuro,-0.0474,-1.2298
Sade,No Ordinary Love,67,Bailable y positivo,-0.2198,1.5976
Silvanno Salles,Dona Maria,38,Bailable y positivo,1.0914,1.9077
"Группа ""Загадка""","Эй, моряк",1,Acústico y calmado,-0.7241,1.6268
Kargo,Kehribar,41,Bailable y positivo,-0.1159,1.3061
Ali Phi,Lima,0,Acústico y calmado,-4.7659,-0.6464
Eduardo Costa,Tocando em Frente,43,Acústico y calmado,-1.2309,0.7487
Catz 'n Dogz,NOW,33,Intenso y oscuro,0.1293,-0.7597
Los Amigos Invisibles,Dame el Mambo,19,Bailable y positivo,1.8696,0.7522
Cesar Costa;Eli Guerra,Algo Tonto (Something Stupid),34,Bailable y positivo,-0.1502,0.6748
The Neighbourhood,Fallen Star,70,Intenso y oscuro,0.2055,0.0843
Tiken Jah Fakoly,Délivrance,0,Bailable y positivo,1.1905,1.1494
Datassette,Fever Dream B,15,Intenso y oscuro,-0.6639,-1.0646
2002,The Emerald Way,20,Acústico y calmado,-3.5741,-1.3515
Piano Genie,"Son of Man (From Disney's ""Tarzan"")",20,Acústico y calmado,-3.5955,0.5362
Lyn Lapid,In My Mind,0,Acústico y calmado,-0.9808,0.6628
Robert Hood,Bells at Dusk,6,Intenso y oscuro,-0.2317,-0.9522
Ricky Rich;King,Habibi - Indian Remix,54,Intenso y oscuro,0.0349,0.0496
Emile Pandolfi,Brian's Song,21,Acústico y calmado,-3.9374,0.0094
Smyang Piano,Dimple,37,Acústico y calmado,-4.1641,0.1589
ILLENIUM;iann dior,First Time,61,Intenso y oscuro,0.4896,-0.57
Omar S,You Silk Suit Wearin Mulafuk'ka,12,Bailable y positivo,0.8471,0.0728
Brock Ansiolitiko,Quiérete,30,Bailable y positivo,0.5583,1.2686
Floyd Cramer,Remember Me (I'm The One Who Loves You),19,Bailable y positivo,-0.1679,1.1134
Kai Wachi;Dylan Matthew,Run,54,Intenso y oscuro,-0.2154,-0.4124
Soweto,Mundo De Oz,41,Intenso y oscuro,-0.7852,-0.0612
Dan + Shay,Take Me Home for Christmas,1,Bailable y positivo,1.1475,0.7619
MEDUZA;Goodboys,Piece Of Your Heart,0,Bailable y positivo,1.1579,0.615
Mariya Takeuchi,Good bye - Previously Unreleased,20,Intenso y oscuro,-0.5457,-0.2096
Hardwell;Henry Fong;Mr. Vegas,Badam,37,Bailable y positivo,1.3702,0.0971
Ricky Montgomery,Mr Loverman,79,Bailable y positivo,0.1963,0.4567
Nightwish,Last Ride of the Day,53,Intenso y oscuro,1.1039,-0.5287
TIAGO IORC,Desconstrução,43,Acústico y calmado,-0.635,0.6073
Gomer Edwin Evans,Spirituelle Erneuerung,25,Acústico y calmado,-4.087,-0.7805
La Mosca Tse-Tse,Baila Para Mi,35,Bailable y positivo,2.2709,0.7611
Åsa Jinder;Cajsa Stina Åkerström,Av längtan till dig,35,Acústico y calmado,-1.5066,1.7175
Shogo Hamada,Midnight Blue Train (single / 2005),32,Intenso y oscuro,-0.6861,-0.2629
Talking Heads,Slippery People - 2005 Remaster,1,Bailable y positivo,1.7781,1.7519
Emilíana Torrini,Jungle Drum,57,Bailable y positivo,1.683,0.7085
Los Delinquentes,El aire de la calle,61,Bailable y positivo,0.8457,1.914
Bucovina,Noaptea Nimanui,21,Intenso y oscuro,-0.0606,-2.4021
Lil Happy Lil Sad,Let Me Die,60,Acústico y calmado,-2.4576,0.0616
Jack Harlow,WALK IN THE PARK,0,Bailable y positivo,1.3034,1.3497
Magdalena Wasylik;Malwina Jachowicz;Julia Siechowicz,"Ulepimy dziś bałwana? - z filmu ""Kraina lodu""",22,Acústico y calmado,-2.7598,0.2252
The Infamous Stringdusters,Pearl of Carolina,21,Bailable y positivo,0.3204,0.2142
Nikolai Erdenko,Ехал на ярмарку ухарь-купец,0,Bailable y positivo,0.0604,1.6363
Jebroer,Cobaine,21,Intenso y oscuro,-0.1359,-0.1491
Trick James,Suicide Letter 2,55,Directo y hablado,0.871,-0.0163
Bethel Music;Melissa Helser,Revival’s In The Air - Live,50,Intenso y oscuro,0.1452,-0.32
Keller Williams,Kidney In a Cooler,23,Bailable y positivo,-0.5071,1.4206
El Coyote Y Su Banda Tierra Santa,Las Morenas,42,Bailable y positivo,1.5605,2.0934
Paul Cardall,Redeemer,20,Acústico y calmado,-3.7388,-0.1205
Kathleen Madigan,House Hunters,22,Directo y hablado,1.0476,-2.2194
Nora Van Elken,Reputation,0,Directo y hablado,1.8665,-1.2667
Ice Nine Kills,Stabbing In The Dark,60,Intenso y oscuro,0.5107,-1.3697
R.E.M.,It's The End Of The World As We Know It (And I Feel Fine),0,Bailable y positivo,1.1022,-0.0778
Camila Cabello;Ed Sheeran,Bam Bam (feat. Ed Sheeran),87,Bailable y positivo,1.7355,1.06
The Future Sound Of London,"Papua New Guinea - 7"" Original",43,Intenso y oscuro,0.2144,-0.1758
Clara Nunes,Conto De Areia,0,Bailable y positivo,0.4758,1.657
Péricles,Insensato Destino / Sonho Meu / Judia de Mim / A Pureza da Flor / Malandro Sou Eu - Ao Vivo,49,Directo y hablado,0.4067,-1.2013
Alka Yagnik,Ek Do Teen Char,48,Directo y hablado,1.0497,-1.4264
JEON SOMI,DUMB DUMB,59,Bailable y positivo,1.1981,0.6809
Kevin Martes 13;Pablo Chill-E,Perco Con Mari,49,Bailable y positivo,0.867,0.6906
Mase,Feel So Good,0,Bailable y positivo,1.3323,0.7943
Robert Broberg,Båtlåt - 1998 Remastered Version,35,Acústico y calmado,-1.5932,0.6766
Razed In Black,Oh My Goth! (Re-Mastered Original),19,Intenso y oscuro,0.2822,-1.1334
Vou pro Sereno;Xande De Pilares,Marinheiro Só / Cada Macaco no seu Galho (Chô Chuá) / Brincadeira Tem Hora (feat. Xande de Pilares) - Ao Vivo,46,Directo y hablado,0.2941,-0.729
Franco Wildlife,Gun Man Thing,26,Bailable y positivo,0.5147,0.7719
Novo Som;Catedral,O Silêncio - Ao Vivo,30,Intenso y oscuro,0.7298,-1.2656
William Luna,Me Voy,24,Acústico y calmado,-1.4563,0.7832
Shanti People;PsiloCybian,Tandava (Psilocybian Remix),27,Intenso y oscuro,-0.2352,-1.7721
Chaos Team;Andy Luxx;Alex Engel,Wahre Liebe,0,Bailable y positivo,1.4816,-0.5091
Hoodoo Gurus,Axegrinder,22,Bailable y positivo,1.294,0.198
告五人,從沒去過巴塞隆納,45,Acústico y calmado,-1.0355,1.723
Super Simple Songs,The Wheels On The Bus,57,Bailable y positivo,0.6885,0.7579
Instrumental Worship Project from I’m In Records,Tu És Santo (Príncipe da Paz),37,Acústico y calmado,-3.5069,0.66
Juan Atkins;Moritz Von Oswald,Riod,28,Intenso y oscuro,-0.7767,0.2249
Marcelo Nova;Raul Seixas,Carpinteiro do universo,35,Bailable y positivo,-0.0883,0.4827
Eladia Blazquez,Viejo Tortoni,20,Acústico y calmado,-0.9457,1.0387
Lonely Night,No One Like You,56,Intenso y oscuro,0.4634,-0.0723
Osvaldo Pugliese,Patético,21,Acústico y calmado,-1.7756,0.1404
Glenn Underground,Colouration,35,Bailable y positivo,0.5224,0.4865
Nightwish,Amaranth,52,Intenso y oscuro,0.6845,-0.5264
Hardknox,Fire Like This,40,Directo y hablado,1.8406,-0.8681
burger/ink,Twelve Miles High,18,Intenso y oscuro,-0.4779,-0.2485
Fluke,Freak,14,Bailable y positivo,0.7711,0.1087
Michael Maxwell,Beyond the Horizon,28,Acústico y calmado,-3.6606,-1.7704
Frejat,Puro Êxtase - Ao Vivo,45,Directo y hablado,1.5199,-1.6306
Najim Arshad;Jyothsna,"Ente Pranayathin - From ""Chembada""",45,Bailable y positivo,0.9067,0.3929
for KING & COUNTRY,Shoulders,55,Intenso y oscuro,-0.1129,-0.5763
CamelPhat;Elderbrook;ZHU,Cola - ZHU Remix,44,Bailable y positivo,0.3745,0.6091
Fiersa Besari,Melangkah Tanpamu,42,Acústico y calmado,-1.3197,1.447
Tiwa Savage;Davido,Park Well,0,Bailable y positivo,0.3681,1.1198
Cesar Costa,No Existe el Amor,39,Acústico y calmado,-0.5628,1.6898
Beast In Black,Blind and Frozen,61,Intenso y oscuro,1.0614,-0.5289
Kit Chan,心動,51,Acústico y calmado,-2.4705,1.3392
Ernest Tubb;Loretta Lynn,Love Was Right Here All The Time,12,Bailable y positivo,-0.4309,1.5167
Labrinth;Zendaya,All For Us - from the HBO Original Series Euphoria,76,Intenso y oscuro,-0.2288,-1.6118
Ralphi Rosario,U Used To Hold Me,14,Bailable y positivo,1.8827,0.217
Hellripper,Blood on the Cross,18,Intenso y oscuro,-0.793,-2.0899
Elite Force,Loco,11,Intenso y oscuro,0.4984,-0.7966
NSG;Giggs,Nyash (Current & Savings),57,Bailable y positivo,1.0743,-0.3275
Motorama,Heavy Wave,56,Intenso y oscuro,-0.2471,-0.3846
Morbid Angel,Cleansed In Pestilence (Blade Of Elohim),19,Intenso y oscuro,-0.1446,-2.6573
Ray Price,Crazy Arms,12,Acústico y calmado,-0.9226,0.8827
Brasil Guitar Duo,Doce de Coco,28,Acústico y calmado,-1.9606,0.6781
Bloodred Hourglass,Ask And You Shall Receive,21,Intenso y oscuro,0.6848,-1.9269
Plaid;Benet Walsh,Ralome,44,Acústico y calmado,-3.1924,0.838
Karthik,"Thooriga - From ""Navarasa""",64,Intenso y oscuro,0.7953,-0.5771
Disturbed,Stricken,72,Intenso y oscuro,0.7568,-1.7288
Deniece Williams,Silly,44,Acústico y calmado,-1.8578,1.2318
Opposite Ways,Polo Nord - Original Mix,34,Intenso y oscuro,-0.6092,-0.8461
OConnor,Una casa con diez pinos,25,Intenso y oscuro,1.1398,-0.5296
Sky Ferreira,24 Hours,46,Intenso y oscuro,0.5917,-1.155
Mukesh,Kisi Ki Muskurahaton Pe,57,Acústico y calmado,-1.0078,1.6463
The Breakfastaz,Crazy,10,Bailable y positivo,1.0059,0.1363
Vegas (Brazil);Bizzare Contact;Vini Vici,Answer From The Stars - Vini Vici vs. Bizzare Contact Remix,46,Intenso y oscuro,-0.3669,-1.8903
Noisettes,Don't Upset The Rhythm (Go Baby Go),0,Bailable y positivo,1.5515,0.4714
Lovely Rascals,Heart-Shaped,44,Acústico y calmado,-2.3835,1.0363
Romanthony;Mia Dora,Trust - Mia Dora Remix,31,Intenso y oscuro,0.6968,-0.6835
Ivan Rebroff;Balalaika-Ensemble Troika,The Legend of the Twelve Thieves,11,Acústico y calmado,-2.8385,-0.5642
Karen Mok;張洪量,廣島之戀,49,Acústico y calmado,-1.5291,0.4599
Fagner,Borbulhas de Amor (Tenho um Coração) - Ao Vivo,44,Directo y hablado,0.6092,-1.0689
4hero,Escape That,20,Bailable y positivo,0.8272,0.6573
Knuckles & Tails,In The Zone,16,Intenso y oscuro,-0.1385,-0.0185
Glee Cast,Cough Syrup (Glee Cast Version),53,Intenso y oscuro,0.7158,-0.3907
DJ Envy,"What, Why, Where, When (featuring Styles)",15,Bailable y positivo,2.0828,1.2856
Aerosmith,Dream On,82,Acústico y calmado,-1.3016,-0.8018
Teoman,Rapsodi İstanbul,42,Bailable y positivo,0.6985,0.2784
Navicula,Ingin Kau Datang,31,Intenso y oscuro,0.9763,-0.2862
Matheus Balo,O Melhor Dessa Vida - Stripped,38,Intenso y oscuro,-1.1335,-0.9497
Apollo Fresh,JoJo Pose,66,Directo y hablado,1.152,-0.7778
Marshmello;Anne-Marie;Borgeous,FRIENDS - Borgeous Remix,46,Intenso y oscuro,0.6788,-1.2207
Capital Inicial,O Passageiro (The Passenger),42,Bailable y positivo,0.4854,0.4742
DJ Sneak;Javi Bora,Rising - Javi Bora Remix,9,Bailable y positivo,1.4149,0.7844
Glee Cast,Everybody Talks (Glee Cast Version),48,Bailable y positivo,1.545,-0.8545
Barreracudas,Promises,25,Bailable y positivo,1.4086,-0.3691
Robert Owens;Josh Butler,I'll Be Your Friend - Josh Butler Origins Remix,10,Intenso y oscuro,0.3743,0.1207
Tenth Avenue North,Healing Begins,44,Intenso y oscuro,-0.0069,-0.2164
The Strokes,Someday,70,Bailable y positivo,0.6907,0.0298
Harold Melvin & The Blue Notes;Teddy Pendergrass,To Be True (feat. Teddy Pendergrass),31,Intenso y oscuro,-0.3663,0.0693
Frédéric Chopin;Daniil Trifonov,"Fantaisie-Impromptu In C-Sharp Minor, Op. 66",40,Acústico y calmado,-4.3177,-0.0634
GReeeeN,pride,34,Intenso y oscuro,0.2752,-0.2732
Allyawan,Vår Verklighet,22,Bailable y positivo,1.184,0.0766
Fun People,Leave Me Alone,35,Bailable y positivo,0.9681,-0.0079
Ben Howard,In Dreams,57,Acústico y calmado,-1.633,-0.2964
KSU,Moje Bieszczady,31,Bailable y positivo,1.8544,0.6584
Susumu Yokota,Saku,18,Acústico y calmado,-3.5385,-0.0076
D’MASIV;Rossa,Pernah Memiliki Feat. David NOAH,30,Acústico y calmado,-1.1788,1.0828
Atria,Floating,0,Acústico y calmado,-2.9186,-0.1027
Coti,Nada Fue Un Error - En Vivo En El Gran Rex / 2015,26,Directo y hablado,0.973,-2.4782
Atmozfears;Adrenalize,Fire - Edit,0,Intenso y oscuro,0.4879,-1.7556
Alejandro Fernández,Me Dediqué a Perderte,0,Bailable y positivo,-0.355,1.0176
Vandenberg,Freight Train,35,Intenso y oscuro,0.9007,-0.3934
Doja Cat;SZA,Kiss Me More (feat. SZA),81,Bailable y positivo,1.2328,1.3247
Repugnant,Sacred Blasphemy,23,Intenso y oscuro,-0.3569,-3.2242
Eddy Tyler,Shallow,41,Acústico y calmado,-2.7453,0.4086
"Grover Washington, Jr.",Just the Two of Us,71,Bailable y positivo,-0.2859,1.4025
James Blunt,You're Beautiful,76,Bailable y positivo,-0.5122,1.3486
TEE,片方の未来 (produced by 清水翔太),38,Bailable y positivo,-0.2781,0.7466
Lil Pump,D Rose,55,Bailable y positivo,0.4762,0.1034
Axero,"Young, Wild & Free",0,Bailable y positivo,1.5415,0.8226
André Rieu,Espana Cani,36,Acústico y calmado,-1.7834,-0.1387
Joshua Radin,I'd Rather Be With You [Radio Edit],28,Intenso y oscuro,0.1051,-0.2628
Die Apokalyptischen Reiter,Auf die Liebe,19,Intenso y oscuro,1.1247,-0.641
Panteon Rococo,Dime,43,Bailable y positivo,2.0327,0.9198
Haemorrhage,Decrepit Dejection,13,Intenso y oscuro,-0.3618,-2.2394
Luis Enrique,Yo No Sé Mañana,75,Bailable y positivo,0.6798,1.0336
Ryuji Imaichi,辛,29,Bailable y positivo,0.2039,1.3107
Cyclo,Media Vida,30,Bailable y positivo,0.7286,0.9612
Kidsounds,We Wish You a Merry Christmas,15,Bailable y positivo,0.1581,1.0213
Carlos Lico,Tú Qué Me Das,35,Bailable y positivo,0.2441,1.2474
Priest,Star Maker,21,Bailable y positivo,1.7038,0.7464
Julianno Sosa,No Days Off,42,Bailable y positivo,0.7676,-0.2262
LooLoo Kids,"Pussy Cat, Pussy Cat",44,Bailable y positivo,1.0806,1.3069
MALIQ & D'Essentials,Mata Hati Telinga,39,Acústico y calmado,-0.8958,1.9285
Winds of Plague,Open the Gates,18,Intenso y oscuro,0.0278,-0.5862
Burzum,War,46,Intenso y oscuro,0.1511,-1.4315
Teenage Dads,Cheerleader,29,Bailable y positivo,1.6975,0.819
Lincoln Brewster,While I Wait,45,Acústico y calmado,-1.6494,0.2223
Bobby Chen,不再讓你孤單,40,Acústico y calmado,-2.374,1.4469
Lenny Kravitz,Superlove,0,Bailable y positivo,1.4607,0.9421
Luiz Bonfá;Oscar Castro-Neves;Lalo Schifrin,Bossa Nova Cha Cha,23,Acústico y calmado,-1.7241,1.0885
NothingNothingNothing,SkinTheBone,44,Acústico y calmado,-1.048,0.2953
Sex Prisoner,Snuff Film,15,Intenso y oscuro,-0.6894,-2.4069
ZONE,glory colors 〜風のトビラ〜,23,Intenso y oscuro,0.3814,-0.3598
Tarja,The Escape Of The Doll,22,Acústico y calmado,-2.3799,-0.3586
Silent Path,Gray Dolls from Nowhere,0,Acústico y calmado,-2.9944,-1.6485
Slank,Tepi Campuhan,36,Bailable y positivo,-0.0285,1.135
Freestylers,Feel the Panic,14,Intenso y oscuro,0.9134,-1.1817
Almafuerte,La Máquina de Picar Carne,26,Intenso y oscuro,0.5084,-2.2103
The Magnetic Fields,In My Car,18,Intenso y oscuro,-0.887,-0.9156
Anenon,Panes,8,Acústico y calmado,-3.1078,-0.7664
Neha Kakkar;Arjun Kanungo,La La La,60,Bailable y positivo,0.8928,0.7076
Paul Johnson,Dance With Me - Lil 'Tal Radio Ediit,12,Directo y hablado,1.9038,-1.3846
Pyotr Ilyich Tchaikovsky;Boston Symphony Orchestra;Seiji Ozawa,"The Nutcracker, Op. 71, TH.14 / Act 1: No. 2 March",0,Acústico y calmado,-2.2982,1.5701
King Crimson,"Epitaph - Including ""March for No Reason"" and ""Tomorrow and Tomorrow""",54,Intenso y oscuro,-1.4249,-0.8146
Will Pan;Xian Zi,不得不愛,60,Bailable y positivo,-0.5055,1.5023
Capital Inicial,Música Urbana - Versão Alternativa,47,Bailable y positivo,1.0486,-0.0101
Calcinha Preta,Renascerá,40,Bailable y positivo,1.1714,-0.2575
NMB48,Time bomb/アンダーガールズ,25,Bailable y positivo,1.5052,-0.3647
Sevendust,T.O.A.B.,30,Intenso y oscuro,0.9459,-1.4935
Ram Trilogy,Mind Overload,15,Intenso y oscuro,1.2412,-1.6441
Refuzion,Without You,46,Directo y hablado,0.7822,-1.8108
Crazy Ken Band,葉山ツイスト,24,Bailable y positivo,1.5031,-0.3896
Olivia Rodrigo,drivers license,88,Acústico y calmado,-1.5152,0.6302
Traditional;Royal Philharmonic Orchestra,Angels We Have Heard on High (Remastered 2014),0,Acústico y calmado,-3.3376,-0.4605
MEDUZA;Becky Hill;Goodboys,Lose Control,78,Bailable y positivo,0.2943,0.4976
my little airport,只因當時太緊張,36,Intenso y oscuro,0.7521,-0.3795
Grupo Fundo De Quintal,Papo de Samba,35,Directo y hablado,1.686,-0.4382
Björn Rosenström,Muffins,34,Bailable y positivo,1.3807,0.8631
Smyang Piano,Zero O' Clock,37,Acústico y calmado,-3.7348,0.5338
chloe moriondo,I Want to Be with You,0,Bailable y positivo,0.3162,0.7785
Kailash Kher,Baare Baare,35,Acústico y calmado,-0.9331,0.9255
Vasuda Sharma,Mera Hai Tu,39,Acústico y calmado,-1.5836,1.6587
George Howard,Love Will Follow,45,Bailable y positivo,-0.0819,1.3892
Horace Andy,That Light,27,Bailable y positivo,0.8891,1.0053
Steve Miller Band,Rock'n Me,67,Bailable y positivo,1.0091,1.5016
UNISON SQUARE GARDEN,お人好しカメレオン,32,Bailable y positivo,1.511,-0.6471
Alex Keeper,Remember These Days,61,Acústico y calmado,-1.3707,-0.291
Juan Marcus & Vinícius;Zé Neto & Cristiano,Poema Bobo - Ao Vivo,54,Directo y hablado,-0.407,0.1771
Wolfgang Amadeus Mozart;Mao Fujita,"Piano Sonata No. 3 in B-Flat Major, K. 281: II. Andante amoroso",16,Acústico y calmado,-3.621,0.7707
Carlos Gardel,A Media Luz - Remastered,32,Acústico y calmado,-0.9034,1.0919
Cinco;Leto,Four,33,Bailable y positivo,2.5347,0.9074
Sodom,Addicted to Abstinence,22,Intenso y oscuro,0.796,-1.5542
Jorge Muñiz,No Te Apartes De Mí,36,Directo y hablado,0.7187,0.6352
Matt Large,The Red Light Special,22,Bailable y positivo,-0.0766,0.1124
Brenda Lee,A Marshmallow World,0,Bailable y positivo,0.5727,1.6994
NG Rezonance;S5,Reflection - Mix Edit,29,Intenso y oscuro,-0.7711,-2.1412
Freestylers;Belle Humble;Flux Pavilion,Cracks - Flux Pavilion Remix,54,Intenso y oscuro,0.6951,-0.5598
Zac Samuel;MØØNE,Follow Me,1,Intenso y oscuro,0.434,-0.2497
Ran-D;Alpha²,Blinded - Radio Edit,24,Intenso y oscuro,-0.3879,-1.9434
Shift K3Y,Feel Your Body,66,Bailable y positivo,1.4838,0.046
