profile_id,profile,numero_canciones,popularidad_media,popularidad_mediana,porcentaje_popularidad_alta,danceability,energy,valence,acousticness,instrumentalness,speechiness,liveness
0,Intenso y oscuro,26789,33.64291313598865,33.0,3.128149613647393,0.49124116615028557,0.7918096980103774,0.30481639180260556,0.06638821268916346,0.254594848684908,0.07652660793609317,0.1900742170293777
1,Directo y hablado,7277,33.2307269479181,34.0,1.374192661811186,0.5204926068434794,0.7394410806238835,0.4834897423388759,0.3677696522193212,0.0798068320021987,0.20815480280335305,0.7379844166552151
2,Acústico y calmado,20538,31.25421170513195,30.0,2.0401207517771933,0.453545983055799,0.28663314406952967,0.29799876599474145,0.7833101237710586,0.3072635071657416,0.04980366637452527,0.15509793553413187
3,Bailable y positivo,35136,33.990266393442624,35.0,5.034722222222222,0.6883651240892532,0.6960589993169398,0.6923456341074681,0.2538119387935451,0.05267024655026184,0.0927650700136612,0.1657381235769581
